,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceStandard,Production Days Standard,Standard Sku
1083,250,0.2,Square 105mm x 105mm,450gsm Art Board Silk Finish,Both Sides (Matt),Single Sided,,24.82,5,FLY-471-511-477-611-STANDARD
3769,250,0.2,Square 148mm x 148mm,350gsm Art Board Silk Finish,Both Sides (Soft Touch),Double Sided,,56.05,5,FLY-510-655-621-572-STANDARD
4091,250,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,,36.1,3,FLY-506-554-607-507-STANDARD
774,250,0.2,A6,100gsm Premium Smooth White Paper,None,Double Sided,,17.1,4,FLY-696-612-513-616-STANDARD
6862,250,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,,22.8,3,FLY-519-505-603-518-STANDARD
4354,250,0.2,A6,450gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,26.12,5,FLY-498-608-613-451-STANDARD
533,250,0.2,Square 148mm x 148mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,42.75,5,FLY-481-654-556-607-STANDARD
7018,250,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,,20.31,4,FLY-663-694-473-564-STANDARD
501,250,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Single Sided,,27.08,3,FLY-610-608-616-563-STANDARD
4374,250,0.2,A5,350gsm Art Board Silk Finish,Both Sides (Matt),Single Sided,,40.61,5,FLY-517-707-616-503-STANDARD
4656,250,0.2,Square 148mm x 148mm,450gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,43.89,5,FLY-460-557-473-615-STANDARD
4397,250,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,,58.66,3,FLY-468-460-461-614-STANDARD
455,250,0.2,Square 105mm x 105mm,450gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,24.82,5,FLY-600-704-648-520-STANDARD
7052,250,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,,19.95,3,FLY-562-706-529-476-STANDARD
4407,250,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,,28.88,4,FLY-464-616-515-520-STANDARD
438,250,0.2,A6,450gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,26.12,5,FLY-550-505-610-660-STANDARD
4676,250,0.2,A4,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,59.57,5,FLY-565-521-471-653-STANDARD
4626,250,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,,18.05,3,FLY-693-514-565-564-STANDARD
7085,250,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,,28.5,3,FLY-610-557-699-506-STANDARD
4441,250,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,,15.2,4,FLY-519-612-554-521-STANDARD
375,250,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,,17.15,3,FLY-647-603-648-602-STANDARD
4470,250,0.2,Square 210mm x 210mm,450gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,67.92,5,FLY-653-566-500-569-STANDARD
4604,250,0.2,Square 105mm x 105mm,450gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,26.12,5,FLY-506-602-563-460-STANDARD
4575,250,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,,18.95,3,FLY-605-600-601-606-STANDARD
351,250,0.2,Square 210mm x 210mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,59.57,5,FLY-567-499-646-651-STANDARD
7095,250,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,,33.25,3,FLY-620-571-561-469-STANDARD
115,250,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,,24.7,3,FLY-520-756-701-608-STANDARD
7101,250,0.2,A7,450gsm Art Board Silk Finish,Both Sides (Matt),Single Sided,,18.87,5,FLY-516-508-603-465-STANDARD
4541,250,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,,27.08,3,FLY-528-569-603-472-STANDARD
409,250,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Double Sided,,19.0,3,FLY-558-606-515-560-STANDARD
3654,250,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,27.08,3,FLY-559-699-613-611-STANDARD
4325,250,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,17.15,3,FLY-453-522-524-458-STANDARD
6994,250,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,28.88,5,FLY-746-575-564-657-STANDARD
4123,250,0.2,A7,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,19.95,5,FLY-425-714-469-606-STANDARD
4772,250,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,,27.44,4,FLY-520-565-521-515-STANDARD
740,250,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,20.52,4,FLY-605-653-555-522-STANDARD
6894,250,0.2,A4,350gsm Art Board Silk Finish,Both Sides (Matt),Single Sided,,59.57,5,FLY-471-559-655-559-STANDARD
4142,250,0.0,Square 210mm x 210mm,450gsm Art Board Silk Finish,None,Single Sided,,58.66,3,FLY-451-609-656-609-STANDARD
708,250,0.0,A6,450gsm Art Board Silk Finish,None,Double Sided,,23.75,3,FLY-513-464-462-503-STANDARD
4174,250,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Single Sided,,72.2,3,FLY-463-599-525-650-STANDARD
702,250,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Single Sided,,31.59,3,FLY-645-614-556-656-STANDARD
4748,250,0.2,Square 148mm x 148mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,40.61,5,FLY-564-516-559-519-STANDARD
669,250,0.0,A6,300gsm Art Board Coated,None,Double Sided,,22.8,3,FLY-616-510-520-657-STANDARD
6931,250,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,,40.61,3,FLY-702-614-473-603-STANDARD
557,250,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Double Sided,,52.25,3,FLY-555-609-514-509-STANDARD
4208,250,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,,15.8,3,FLY-563-655-515-563-STANDARD
645,250,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,30.4,5,FLY-514-518-652-564-STANDARD
5,250,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,,18.05,3,FLY-570-470-600-606-STANDARD
4242,250,0.0,A5,300gsm Art Board Coated,None,Double Sided,,35.15,3,FLY-565-564-512-569-STANDARD
634,250,0.2,Square 148mm x 148mm,450gsm Art Board Silk Finish,Both Sides (Soft Touch),Single Sided,,41.7,5,FLY-609-467-615-460-STANDARD
629,250,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,61.75,3,FLY-652-540-557-656-STANDARD
6965,250,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,122.56,3,FLY-513-549-508-562-STANDARD
4699,250,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,39.9,3,FLY-558-611-509-468-STANDARD
617,250,0.2,A6,350gsm Art Board Silk Finish,Both Sides (Soft Touch),Single Sided,,31.59,5,FLY-568-606-556-606-STANDARD
6972,250,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,25.65,5,FLY-568-506-602-564-STANDARD
609,250,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Soft Touch),Single Sided,,37.0,5,FLY-600-564-516-529-STANDARD
4291,250,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,35.15,3,FLY-615-560-513-413-STANDARD
4710,250,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,14.21,3,FLY-662-658-660-553-STANDARD
6565,250,0.2,A7,450gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-522-557-558-563-STANDARD
1161,250,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,23.75,3,FLY-405-508-523-603-STANDARD
5080,250,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,,18.05,3,FLY-466-563-520-505-STANDARD
1754,250,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Double Sided,,39.9,3,FLY-562-514-461-463-STANDARD
6266,250,0.2,A3,300gsm Art Board Coated,None,Double Sided,,76.0,3,FLY-612-568-659-556-STANDARD
3329,250,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Single Sided,,24.37,4,FLY-611-506-603-654-STANDARD
1721,250,0.0,A5,170gsm Art Paper Silk Finish,None,Single Sided,,27.08,3,FLY-572-515-518-622-STANDARD
1710,250,0.0,A6,350gsm Recycled Uncoated,None,Single Sided,,27.08,3,FLY-508-566-562-601-STANDARD
3363,250,0.0,A4,170gsm Art Paper Gloss Finish,None,Single Sided,,36.1,3,FLY-460-464-476-563-STANDARD
1689,250,0.2,A7,450gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,19.85,5,FLY-517-506-509-602-STANDARD
6290,250,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,,28.5,3,FLY-564-574-602-511-STANDARD
5282,250,0.0,A6,350gsm Recycled Uncoated,None,Double Sided,,28.5,3,FLY-563-657-517-649-STANDARD
1660,250,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,57.0,3,FLY-419-553-522-705-STANDARD
5293,250,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,54.15,3,FLY-464-561-425-544-STANDARD
1323,250,0.0,A5,130gsm Art Paper Gloss Finish,None,Double Sided,,23.75,3,FLY-606-700-564-563-STANDARD
6324,250,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,16.97,4,FLY-569-513-607-564-STANDARD
3401,250,0.0,Square 105mm x 105mm,450gsm Art Board Silk Finish,None,Double Sided,,23.75,3,FLY-507-564-557-478-STANDARD
5270,250,0.2,A4,350gsm Art Board Silk Finish,Both Sides (Soft Touch),Double Sided,,90.25,5,FLY-603-560-552-471-STANDARD
1599,250,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,20.52,4,FLY-512-552-606-524-STANDARD
246,250,0.0,A7,170gsm Art Paper Silk Finish,None,Double Sided,,16.15,3,FLY-463-599-607-559-STANDARD
3433,250,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,14.44,4,FLY-665-709-560-606-STANDARD
6357,250,0.2,Square 210mm x 210mm,450gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,67.92,5,FLY-510-513-660-509-STANDARD
5241,250,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,19.49,4,FLY-498-661-556-469-STANDARD
3462,250,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Soft Touch),Single Sided,,157.94,5,FLY-571-517-608-524-STANDARD
1552,250,0.0,A4,300gsm Art Board Coated,None,Double Sided,,52.25,3,FLY-515-606-707-604-STANDARD
1628,250,0.0,Square 148mm x 148mm,450gsm Art Board Silk Finish,None,Double Sided,,39.9,3,FLY-655-551-658-522-STANDARD
6379,250,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,38.0,3,FLY-507-621-528-659-STANDARD
1765,250,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Double Sided,,28.5,3,FLY-521-560-563-701-STANDARD
1799,250,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Double Sided,,38.0,3,FLY-506-603-615-609-STANDARD
3084,250,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,19.0,4,FLY-511-520-552-520-STANDARD
5403,250,0.2,A6,100gsm Premium Smooth White Paper,None,Single Sided,,16.24,4,FLY-512-546-656-611-STANDARD
2007,250,0.0,A6,130gsm Art Paper Silk Finish,None,Double Sided,,16.62,3,FLY-468-610-464-468-STANDARD
6153,250,0.0,A5,130gsm Art Paper Silk Finish,None,Single Sided,,22.56,3,FLY-476-519-554-612-STANDARD
1975,250,0.0,Square 105mm x 105mm,450gsm Art Board Silk Finish,None,Single Sided,,22.56,3,FLY-554-524-511-559-STANDARD
3118,250,0.2,A3,100gsm Premium Smooth White Paper,None,Single Sided,,50.54,4,FLY-554-663-652-568-STANDARD
1956,250,0.2,A7,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,19.95,5,FLY-465-523-655-555-STANDARD
39,250,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,23.75,3,FLY-548-601-610-618-STANDARD
3150,250,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,104.5,5,FLY-558-613-513-427-STANDARD
5369,250,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,,14.21,3,FLY-659-703-572-557-STANDARD
3305,250,0.2,A5,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,42.75,5,FLY-552-657-560-510-STANDARD
1924,250,0.0,A6,300gsm Art Board Coated,None,Single Sided,,21.66,3,FLY-525-602-433-476-STANDARD
3169,250,0.0,Square 210mm x 210mm,450gsm Art Board Silk Finish,None,Double Sided,,61.75,3,FLY-503-564-517-557-STANDARD
5356,250,0.2,Square 210mm x 210mm,450gsm Art Board Silk Finish,Both Sides (Soft Touch),Double Sided,,67.92,5,FLY-600-558-500-512-STANDARD
183,250,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,27.08,3,FLY-548-462-573-566-STANDARD
1890,250,0.2,A6,120gsm Premium Smooth White Paper,None,Single Sided,,20.31,4,FLY-520-699-614-508-STANDARD
6220,250,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,99.28,5,FLY-656-509-659-646-STANDARD
3215,250,0.0,A4,130gsm Art Paper Gloss Finish,None,Single Sided,,27.08,3,FLY-601-697-615-463-STANDARD
5327,250,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,28.5,3,FLY-505-666-521-419-STANDARD
1833,250,0.0,A5,350gsm Art Board Silk Finish,None,Single Sided,,34.3,3,FLY-567-509-615-698-STANDARD
6242,250,0.2,Square 148mm x 148mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,42.75,5,FLY-652-610-569-605-STANDARD
3273,250,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Double Sided,,22.32,4,FLY-658-517-526-603-STANDARD
6187,250,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,,14.96,3,FLY-661-510-586-608-STANDARD
1539,250,0.2,A6,350gsm Art Board Silk Finish,Both Sides (Soft Touch),Double Sided,,33.25,5,FLY-610-705-653-613-STANDARD
3396,250,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,61.75,3,FLY-651-559-558-560-STANDARD
6445,250,0.2,A7,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,18.95,5,FLY-416-661-469-605-STANDARD
102,250,0.2,A7,450gsm Art Board Silk Finish,Both Sides (Soft Touch),Double Sided,,19.85,5,FLY-567-659-505-605-STANDARD
1358,250,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,77.9,3,FLY-600-652-559-418-STANDARD
5173,250,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,,16.62,3,FLY-551-516-514-652-STANDARD
6464,250,0.2,Square 105mm x 105mm,450gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,26.12,5,FLY-506-589-464-652-STANDARD
3614,250,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,16.15,3,FLY-510-660-562-561-STANDARD
1377,250,0.2,Square 148mm x 148mm,450gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,41.7,5,FLY-596-472-655-563-STANDARD
3501,250,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,15.8,3,FLY-512-620-573-470-STANDARD
5114,250,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,21.66,3,FLY-698-715-508-600-STANDARD
3535,250,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Single Sided,,27.08,3,FLY-649-568-645-610-STANDARD
1433,250,0.2,A3,130gsm Art Paper Gloss Finish,None,Double Sided,,42.75,3,FLY-659-662-515-599-STANDARD
3546,250,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,,27.08,3,FLY-515-526-479-512-STANDARD
3477,250,0.2,Square 210mm x 210mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,62.7,5,FLY-508-607-462-512-STANDARD
1399,250,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Double Sided,,18.05,3,FLY-479-705-617-562-STANDARD
3580,250,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,42.75,3,FLY-697-609-600-557-STANDARD
6486,250,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,,15.8,3,FLY-561-661-558-561-STANDARD
1497,250,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Soft Touch),Single Sided,,31.59,5,FLY-579-557-512-473-STANDARD
1468,250,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Double Sided,,28.5,3,FLY-609-508-560-505-STANDARD
6413,250,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,19.49,4,FLY-520-556-554-566-STANDARD
6536,250,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-619-694-464-473-STANDARD
1510,250,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,36.1,4,FLY-535-606-521-515-STANDARD
5207,250,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,36.1,3,FLY-470-519-612-518-STANDARD
3741,300,0.2,A5,120gsm Premium Smooth White Paper,None,Single Sided,,26.17,4,FLY-559-465-507-463-STANDARD
2637,300,0.2,A5,120gsm Premium Smooth White Paper,None,Double Sided,,27.55,4,FLY-563-563-578-564-STANDARD
3655,300,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,31.59,3,FLY-559-699-613-611-STANDARD
4677,300,0.2,A4,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,72.2,5,FLY-565-521-471-653-STANDARD
4326,300,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,17.6,3,FLY-453-522-524-458-STANDARD
5012,300,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,17.6,3,FLY-657-602-552-650-STANDARD
3216,300,0.0,A4,130gsm Art Paper Gloss Finish,None,Single Sided,,31.59,3,FLY-601-697-615-463-STANDARD
3119,300,0.2,A3,100gsm Premium Smooth White Paper,None,Single Sided,,54.15,4,FLY-554-663-652-568-STANDARD
5115,300,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,23.46,3,FLY-698-715-508-600-STANDARD
5466,300,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Matt),Single Sided,,26.17,5,FLY-552-604-479-515-STANDARD
3004,300,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Single Sided,,27.08,3,FLY-430-572-561-610-STANDARD
5706,300,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,63.18,3,FLY-569-562-466-614-STANDARD
5404,300,0.2,A6,100gsm Premium Smooth White Paper,None,Single Sided,,16.61,4,FLY-512-546-656-611-STANDARD
3085,300,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,19.24,4,FLY-511-520-552-520-STANDARD
116,300,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,,27.08,3,FLY-520-756-701-608-STANDARD
3581,300,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,47.5,3,FLY-697-609-600-557-STANDARD
5328,300,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,30.4,3,FLY-505-666-521-419-STANDARD
4292,300,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,39.9,3,FLY-615-560-513-413-STANDARD
5759,300,0.2,A4,100gsm Premium Smooth White Paper,None,Double Sided,,30.4,4,FLY-561-511-476-552-STANDARD
5534,300,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,80.75,3,FLY-559-497-514-462-STANDARD
4442,300,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,,15.39,4,FLY-519-612-554-521-STANDARD
5081,300,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,,19.0,3,FLY-466-563-520-505-STANDARD
3690,300,0.2,A3,100gsm Premium Smooth White Paper,None,Double Sided,,57.0,4,FLY-653-525-608-523-STANDARD
5436,300,0.2,A6,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,26.17,5,FLY-515-555-525-572-STANDARD
4627,300,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,,18.52,3,FLY-693-514-565-564-STANDARD
4408,300,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,,30.4,4,FLY-464-616-515-520-STANDARD
2628,300,0.0,A3,350gsm Recycled Uncoated,None,Single Sided,,126.0,3,FLY-560-656-562-519-STANDARD
3044,300,0.2,Square 210mm x 210mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,76.0,5,FLY-575-699-596-526-STANDARD
4398,300,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,,63.18,3,FLY-468-460-461-614-STANDARD
5047,300,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,31.59,3,FLY-699-606-565-557-STANDARD
2853,300,0.0,A7,350gsm Recycled Uncoated,None,Double Sided,,23.75,3,FLY-520-614-516-651-STANDARD
3151,300,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,128.25,5,FLY-558-613-513-427-STANDARD
5370,300,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-659-703-572-557-STANDARD
3615,300,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,16.39,3,FLY-510-660-562-561-STANDARD
4576,300,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,,20.76,3,FLY-605-600-601-606-STANDARD
4375,300,0.2,A5,350gsm Art Board Silk Finish,Both Sides (Matt),Single Sided,,46.93,5,FLY-517-707-616-503-STANDARD
74,300,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,38.0,4,FLY-516-600-653-599-STANDARD
184,300,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,31.59,3,FLY-548-462-573-566-STANDARD
4700,300,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,40.85,3,FLY-558-611-509-468-STANDARD
3478,300,0.2,Square 210mm x 210mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,76.0,5,FLY-508-607-462-512-STANDARD
4243,300,0.0,A5,300gsm Art Board Coated,None,Double Sided,,39.9,3,FLY-565-564-512-569-STANDARD
4058,300,0.0,A6,170gsm Art Paper Silk Finish,None,Single Sided,,18.05,3,FLY-515-565-509-421-STANDARD
2734,300,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Double Sided,,21.85,3,FLY-509-515-644-514-STANDARD
5639,300,0.0,A7,170gsm Art Paper Silk Finish,None,Single Sided,,15.57,3,FLY-553-613-506-657-STANDARD
3397,300,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,66.5,3,FLY-651-559-558-560-STANDARD
3502,300,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,16.24,3,FLY-512-620-573-470-STANDARD
4807,300,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,80.75,3,FLY-475-700-701-515-STANDARD
3853,300,0.0,A5,300gsm Art Board Coated,None,Single Sided,,37.9,3,FLY-466-701-515-519-STANDARD
4024,300,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,36.1,4,FLY-601-607-609-608-STANDARD
5488,300,0.2,Square 148mm x 148mm,350gsm Art Board Silk Finish,Both Sides (Matt),Single Sided,,46.93,5,FLY-574-606-466-606-STANDARD
3990,300,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,,45.12,3,FLY-458-559-606-423-STANDARD
3434,300,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,14.62,4,FLY-665-709-560-606-STANDARD
5242,300,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,20.94,4,FLY-498-661-556-469-STANDARD
3956,300,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,,18.05,3,FLY-473-615-513-661-STANDARD
3887,300,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Single Sided,,18.05,3,FLY-513-562-602-563-STANDARD
5605,300,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Single Sided,,21.66,4,FLY-554-615-567-604-STANDARD
2768,300,0.2,A7,120gsm Premium Smooth White Paper,None,Single Sided,,18.28,4,FLY-546-601-601-555-STANDARD
4934,300,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,,63.18,3,FLY-508-612-611-702-STANDARD
4900,300,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,30.4,3,FLY-481-569-514-568-STANDARD
2931,300,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,17.1,3,FLY-427-575-563-517-STANDARD
3919,300,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,32.3,5,FLY-616-665-564-598-STANDARD
5208,300,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,45.12,3,FLY-470-519-612-518-STANDARD
5174,300,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,,17.1,3,FLY-551-516-514-652-STANDARD
5567,300,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,38.81,3,FLY-608-603-467-564-STANDARD
150,300,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,,33.25,3,FLY-611-505-479-573-STANDARD
5510,300,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,128.25,5,FLY-472-703-500-618-STANDARD
3274,300,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Double Sided,,22.8,4,FLY-658-517-526-603-STANDARD
5294,300,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,63.18,3,FLY-464-561-425-544-STANDARD
3306,300,0.2,A5,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,49.4,5,FLY-552-657-560-510-STANDARD
4711,300,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-662-658-660-553-STANDARD
4209,300,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,,16.24,3,FLY-563-655-515-563-STANDARD
3783,300,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,24.37,3,FLY-614-656-453-557-STANDARD
5001,300,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,38.81,3,FLY-565-606-600-651-STANDARD
5673,300,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,67.69,4,FLY-689-461-464-565-STANDARD
3536,300,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Single Sided,,28.88,3,FLY-649-568-645-610-STANDARD
